#{"t_start": 1773860274.1174054, "env_id": "None"}
r,l,t
-2881.088807,1470,29.502121
-1708.167594,1470,52.401015
-468.61294,1095,69.303565
-1559.167847,1470,140.880196
-815.905899,1470,164.256486
-146.195408,1470,187.718611
-179.672013,1470,211.678838
-451.564424,1470,281.172807
-241.722144,1470,305.450228
-11.722422,1470,329.760811
-750.630311,1470,402.071791
-69.679433,1470,426.710533
-28.190354,1470,451.2902
-162.765895,1470,524.162513
-15.700368,1470,548.579825
-241.958982,1095,566.579785
-273.165305,1470,591.123791
-43.927039,1470,666.493097
-11.73224,1110,684.9714
-10.80748,1110,703.4735
-16.597074,1470,727.844702
-2285.988397,1470,798.129605
-2562.012843,1470,822.968157
-8.438657,1470,847.63056
-19.539734,1095,866.536483
-51.070771,1470,936.478743
-35.131273,1470,961.147876
-229.650639,1470,986.163407
-15.738009,1470,1058.99877
-85.014389,1470,1083.573289
-5.333794,1095,1101.511773
-16.965203,1470,1126.513227
-99.343683,1470,1197.563072
-82.415105,1470,1222.605108
-1497.691088,1470,1247.215316
-7.520557,1470,1319.913152
-412.745152,1470,1344.735355
-9.757078,1470,1369.419974
-5.708433,1095,1387.672649
-5.089525,1110,1457.240951
-7.84086,1470,1482.003019
-20.679193,1470,1506.771421
-33.945377,1095,1525.31755
-13.338664,1110,1594.581096
-16.346299,1095,1612.904518
-8.510194,1470,1637.54251
-7.328473,1470,1710.770853
-7.029574,1470,1735.394673
-21.67568,1470,1760.579433
-13.733457,1470,1785.512347
-14.834314,1470,1858.207906
-10.07698,1470,1882.857883
-5.26477,1095,1901.381478
-58.393112,1470,1925.546129
-8.406291,1470,2001.376305
-7.588306,1470,2026.262357
-10.696438,1470,2051.049803
-23.014473,1470,2126.007298
-5.647097,1095,2144.21016
-21.774217,1470,2168.75381
-8.08535,1470,2193.752615
-7.299308,1470,2264.809646
103.664504,1470,2289.673581
-23.084805,1470,2314.677905
-34.985973,1470,2387.549443
-7.641897,1470,2412.28318
-12.509688,1470,2436.768885
-8.309034,1470,2510.621064
-25.977662,1470,2534.957657
-87.211048,1469,2559.734308
-17.944589,1110,2578.476905
-22.45065,1470,2654.142279
-221.661143,1470,2678.772924
-9.360522,1470,2703.521609
-21.360367,1470,2774.476333
-13.132861,1470,2799.066564
-314.832036,1470,2824.115645
-7.388297,1470,2849.215905
-55.998676,1470,2922.725729
-7.887989,1470,2947.39387
-5.939352,1095,2965.572583
-21.880206,1470,2990.238621
-7.389654,1470,3063.041274
-12.068751,1110,3081.361973
-21.914552,1470,3106.078343
-24.138122,1470,3176.539697
-146.600591,1470,3200.770367
-101.914466,1095,3219.119535
-32.670618,1470,3243.937141
-8.203437,1470,3316.975799
-34.030927,1470,3341.876899
-43.774209,1095,3360.705249
-9.224686,1470,3433.333631
-8.406291,1470,3457.896786
-5.26477,1095,3476.025582
-7.718571,1470,3501.021478
-35.73354,1470,3574.030559
-39.245755,1470,3598.634206
-10.407549,1470,3623.634258
-31.871916,1470,3648.434732
-177.157646,1470,3721.374606
-5.509925,1149,3739.875144
-7.628284,1110,3758.907859
-18.480338,1470,3829.4437
-12.002285,1470,3854.18684
-13.428269,1095,3872.765151
-8.780034,1470,3897.779798
-7.78684,1470,3968.144945
-11.041817,1470,3992.693419
-6.261954,1110,4011.332524
-11.219794,1470,4036.172356
-10.618402,1470,4111.527886
-247.741572,1095,4129.620484
-97.275588,1470,4154.495843
-7.573154,1463,4230.373263
-13.967025,1470,4255.314318
-7.520557,1470,4279.739039
-10.079433,1470,4304.490773
-10.204341,1470,4377.377004
-108.462837,1470,4401.913405
-8.829985,1470,4426.823313
-10.892813,1470,4500.091504
-5.937207,1095,4518.698347
-7.257929,1470,4543.504852
-7.504421,1470,4568.187753
-30.901075,1470,4638.348396
-10.334802,1470,4662.824486
-7.631973,1470,4687.657843
-7.641897,1470,4760.292587
-18.964916,1470,4785.26133
-10.618402,1470,4810.018751
-227.82489,1470,4834.658267
-18.29342,1110,4896.33864
-91.657477,1470,4920.784482
-8.115778,1110,4939.764904
-8.02737,1470,4964.510377
-7.949457,1469,5037.291573
-6.332908,1095,5055.799878
-9.341764,1470,5080.355703
-33.668586,1095,5144.308731
-7.299308,1470,5169.146741
-630.529298,1470,5193.920753
-5.806721,1095,5212.510007
-10.18353,1470,5288.209694
37.213519,1470,5313.176791
-178.695907,1470,5337.977628
-12.509688,1470,5410.713977
-5.806721,1095,5429.103069
-6.972875,1470,5453.926793
-423.208249,1470,5478.744199
-7.746053,1470,5552.068242
-9.243293,1095,5570.194725
-7.718571,1470,5595.142095
-96.487389,1470,5619.938961
-64.961848,1470,5687.568881
-9.512046,1470,5712.571176
-7.328473,1470,5737.314955
-20.183537,1470,5813.004001
-8.67811,1095,5831.756654
-9.307905,1470,5856.649414
-7.679734,1470,5881.337595
-89.589252,1470,5951.974866
-7.196764,1470,5976.823258
-12.109366,1470,6001.405674
-8.781309,1467,6072.921613
-10.618402,1470,6097.517025
-77.908773,1470,6122.102388
-9.458045,1470,6146.903007
-7.718571,1470,6219.897731
-6.005513,1110,6238.957991
-8.016857,1470,6263.826873
-7.638658,1470,6336.85178
-61.509571,1463,6361.569139
-5.773693,1110,6380.377128
-8.04971,1470,6405.080069
-9.360522,1470,6476.866678
-5.806721,1095,6495.171131
1144.05223,1470,6520.023477
-25.739476,1470,6544.969405
390.485826,1095,6609.610306
-5.773693,1110,6628.516279
-10.74252,1470,6653.338953
-73.921016,1470,6677.987072
-68.985716,1110,6747.820405
-4.211958,780,6760.61032
-8.184968,1470,6785.349227
-9.341764,1470,6809.902062
-8.04971,1470,6885.480955
-33.718728,1110,6904.3256
-6.994123,1470,6929.236327
-15.298795,1470,7002.106681
-197.40049,1470,7027.404659
-10.378248,1470,7051.874082
-8.110774,1470,7076.439024
-5.873103,1095,7143.63854
-7.883958,1470,7168.328365
-57.546503,1470,7193.239409
-5.647097,1095,7211.709374
-9.242575,1470,7288.089376
-7.588306,1470,7312.82716
-176.956185,1470,7337.719795
-10.696438,1470,7410.923232
-7.284846,1110,7429.982342
-8.829985,1470,7454.635029
-7.715024,1470,7479.847326
-19.10624,1470,7553.261808
-6.332908,1095,7571.817458
-9.548436,1470,7596.346572
-8.406291,1470,7667.709007
-7.039641,1470,7692.984568
-13.630909,1470,7718.862394
-7.771179,1470,7744.070491
-8.761731,1470,7819.825874
-10.18353,1470,7844.89928
-7.162588,1470,7869.813575
-25.664168,1470,7943.761661
-7.746053,1470,7968.829917
-321.887048,1470,7994.114533
-17.058103,1470,8070.361964
-179.779554,1110,8089.235626
-55.342512,1470,8114.634332
-7.573154,1463,8139.692673
-15.195622,1470,8213.646284
-45.492267,1470,8238.574444
-69.985053,1470,8263.646863
-7.326997,1470,8288.498768
-7.543139,1470,8363.941987
280.009383,1095,8382.138226
-5.250978,1095,8400.419624
-20.709313,1470,8470.652231
-7.628284,1110,8489.681047
55.677523,1095,8508.032462
-10.262584,1470,8533.173592
-8.536409,1470,8606.11639
-997.456386,1110,8624.674455
-10.262584,1470,8649.398303
-20.462989,1470,8674.485383
-7.029574,1470,8748.230784
-80.738514,1470,8772.876843
-10.26657,1470,8797.661066
-18.880272,1470,8870.83173
-23.059175,1470,8895.893579
-7.631973,1470,8920.778004
-21.642782,1470,8945.66059
-295.956167,1470,9016.867587
-10.714244,1470,9041.669367
-35.716403,1470,9066.475568
-68.573481,1470,9136.191232
-10.727334,1470,9160.806568
-52.867274,1470,9185.630297
-11.933308,1095,9203.943247
-7.746053,1470,9279.562536
-10.334802,1470,9304.259459
-9.368619,1470,9328.882717
-5.759384,1095,9346.847304
-18.979,1470,9417.830021
-93.037569,1470,9442.447311
