dataset,episode,date,day_of_week,day_name,month,year,pnl,return_pct,max_drawdown,peak_pnl,trades,investment,total_reward,position_type,final_margin,spot_open,spot_close,spot_return_pct,vix,trend_regime,vol_regime,market_event,total_steps,hold_pct,enter_long_count,enter_short_count,exit_count,add_ce_count,add_pe_count,reduce_ce_count,reduce_pe_count
train,1,2020-01-01,2,Wed,1,2020,405510.37,429.51,30680.68,405517.8,581,94412.33,13.2648,SHORT/LONG,0.0,12202.15,11988.1,-1.7542,,BEARISH,UNKNOWN,,1500,62.53,6,4,9,256,50,214,23
train,2,2020-01-08,2,Wed,1,2020,503418.9,173.8335,775575.33,1278550.64,2202,289598.28,-303.6802,SHORT/LONG,0.0,11939.1,12329.6,3.2708,,BULLISH,UNKNOWN,,1500,14.2,449,9,457,131,180,1,60
train,3,2020-01-15,2,Wed,1,2020,265237.36,283.8286,20673.24,272000.22,1099,93449.82,10.2915,SHORT/LONG,0.0,12349.4,12230.75,-0.9608,,BEARISH,UNKNOWN,,1500,27.2,2,2,3,521,39,504,21
train,4,2020-01-22,2,Wed,1,2020,296006.47,212.7019,52067.62,298830.17,489,139164.92,0.1255,SHORT/LONG,0.0,12218.35,12109.9,-0.8876,,BEARISH,UNKNOWN,,1500,72.27,34,3,36,125,83,86,49
train,5,2020-01-29,2,Wed,1,2020,224429.86,118.329,246171.63,470601.5,1238,189665.94,-108.7538,SHORT/LONG,0.0,12114.9,11724.6,-3.2217,,BEARISH,UNKNOWN,,1875,57.07,185,32,216,160,168,38,6
train,6,2020-02-05,2,Wed,2,2020,373107.15,220.8536,37243.16,404782.89,303,168938.64,10.4766,SHORT/LONG,0.0,12005.85,12035.3,0.2453,,SIDEWAYS,UNKNOWN,,1500,80.8,5,3,7,101,62,71,39
train,7,2020-02-12,2,Wed,2,2020,239132.65,221.2653,52574.66,247835.6,627,108075.08,4.9903,SHORT/LONG,0.0,12151.0,12050.15,-0.83,,BEARISH,UNKNOWN,,1499,61.44,21,4,24,195,106,158,70
train,8,2020-02-19,2,Wed,2,2020,557286.93,272.1505,37094.48,572790.65,338,204771.63,19.6855,SHORT/LONG,0.0,12090.6,11835.85,-2.107,,BEARISH,UNKNOWN,,1125,71.29,5,3,7,106,78,80,44
train,9,2020-02-26,2,Wed,2,2020,568184.64,232.6913,42190.86,576688.81,425,244179.59,22.396,SHORT/LONG,0.0,11738.55,11149.2,-5.0206,,BEARISH,UNKNOWN,,1500,72.67,4,4,7,139,91,100,65
train,10,2020-03-04,2,Wed,3,2020,150744.95,28.5854,253738.66,404464.34,1122,527350.14,-96.115,SHORT/LONG,0.0,11351.35,10457.6,-7.8735,,BEARISH,UNKNOWN,,1499,57.04,94,145,239,48,83,4,31
train,11,2020-03-11,2,Wed,3,2020,-1388607.64,-328.275,2127573.3,738965.66,80,423001.34,-1017.0804,SHORT/LONG,0.0,10334.3,9200.05,-10.9756,,BEARISH,UNKNOWN,,1500,95.07,1,2,3,33,18,17,0
train,12,2020-03-18,2,Wed,3,2020,636081.67,57.5336,1052427.2,1681055.43,841,1105582.55,-345.776,SHORT/LONG,0.0,9088.45,7636.65,-15.9741,,BEARISH,UNKNOWN,,1500,55.87,87,3,89,335,148,0,0
train,13,2020-03-25,2,Wed,3,2020,1080841.52,203.0606,157196.98,1080841.52,57,532275.24,8.7157,SHORT/LONG,0.0,7735.15,8291.7,7.1951,,BULLISH,UNKNOWN,,1500,96.53,1,2,2,21,18,8,0
train,14,2020-04-01,2,Wed,4,2020,446964.15,133.82,234936.19,548243.97,71,334004.0,-1.0121,SHORT/LONG,0.0,8584.1,8106.45,-5.5644,,BEARISH,UNKNOWN,,750,91.2,1,2,2,32,18,11,0
train,15,2020-04-08,2,Wed,4,2020,797931.07,148.1194,647387.28,1445318.35,1175,538708.1,-157.2301,SHORT/LONG,0.0,8688.9,9006.65,3.657,,BULLISH,UNKNOWN,,1125,32.09,204,2,205,172,181,0,0
train,16,2020-04-15,2,Wed,4,2020,392761.47,145.5621,266066.38,463251.37,827,269824.0,-79.8824,SHORT/LONG,0.0,9196.4,9262.0,0.7133,,BULLISH,UNKNOWN,,1500,68.8,104,76,179,55,35,17,2
train,17,2020-04-22,2,Wed,4,2020,558269.46,203.2291,116589.42,671491.03,72,274699.58,-11.2953,SHORT/LONG,0.0,9026.75,9289.6,2.9119,,BULLISH,UNKNOWN,,1500,95.67,2,2,3,20,27,8,3
train,18,2020-04-29,2,Wed,4,2020,1166113.28,310.902,240455.29,1405513.51,261,375074.29,17.8108,SHORT/LONG,0.0,9408.6,9305.7,-1.0937,,BEARISH,UNKNOWN,,1125,78.49,6,4,9,92,65,45,21
train,19,2020-05-06,2,Wed,5,2020,267668.79,89.788,295361.86,562997.87,1021,298112.11,-91.3856,SHORT/LONG,0.0,9226.8,9247.2,0.2211,,SIDEWAYS,UNKNOWN,,1500,61.07,121,98,218,53,74,11,9
