episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct,position_type,final_margin
1,2025-01-01,18977.38,48681.44,19792.21,1489,421855.57,-13.3618,4.4985,SHORT/LONG,0.0
2,2025-01-08,-29759.36,61733.34,7417.68,1711,159660.7,-21.0109,-18.6391,LONG/SHORT,0.0
3,2025-01-15,53168.34,35063.2,54910.79,1041,226275.19,0.1538,23.4972,SHORT/LONG,0.0
4,2025-01-22,22450.21,19233.24,28348.2,1002,165323.15,-1.0404,13.5796,LONG/SHORT,0.0
5,2025-01-29,-46888.67,60390.69,7955.78,2415,240098.18,-17.4625,-19.529,SHORT/LONG,0.0
6,2025-02-05,24425.26,5462.14,27473.45,1547,157406.42,1.7158,15.5173,SHORT/LONG,0.0
7,2025-02-12,-73804.58,84313.95,6647.4,2208,481183.08,-38.9872,-15.3381,LONG/SHORT,0.0
8,2025-02-19,19625.62,31799.48,21203.09,1732,168850.54,-10.6686,11.6231,SHORT,0.0
9,2025-03-05,15366.21,40203.04,22476.33,1676,155747.36,-10.4248,9.8661,LONG/SHORT,0.0
10,2025-03-12,99328.38,12959.56,99947.83,1031,186742.34,4.7772,53.1901,SHORT/LONG,0.0
11,2025-03-19,59152.21,24710.89,77252.75,988,170092.47,0.2709,34.7765,LONG/SHORT,0.0
12,2025-03-26,23436.62,27502.5,49381.78,687,202354.11,1.2439,11.582,SHORT/LONG,0.0
13,2025-04-02,-92339.87,101020.2,8610.64,2080,170303.99,-31.4274,-54.2206,SHORT/LONG,0.0
14,2025-04-09,59885.78,8680.97,61159.75,470,166932.31,3.8892,35.8743,SHORT,0.0
15,2025-04-16,-1747.1,55204.59,973.44,1909,158618.07,-13.929,-1.1015,LONG/SHORT,0.0
16,2025-04-23,20834.55,36872.52,27503.17,1374,258079.3,-5.952,8.0729,SHORT/LONG,0.0
17,2025-04-30,86780.69,10157.3,90654.6,423,163264.82,4.3197,53.1533,SHORT,0.0
18,2025-05-07,45392.68,30384.55,48239.11,1037,187207.87,-1.4772,24.2472,LONG/SHORT,0.0
19,2025-05-14,16704.12,30076.76,20459.09,1623,255990.51,-8.7204,6.5253,LONG/SHORT,0.0
20,2025-05-21,-82444.16,109657.44,25895.94,3309,247442.45,-62.2504,-33.3185,SHORT/LONG,0.0
21,2025-05-28,8954.59,27478.2,32452.26,1120,180121.43,-5.55,4.9714,SHORT/LONG,0.0
22,2025-06-04,45738.73,11210.41,46114.26,1381,148998.57,1.7183,30.6974,SHORT/LONG,0.0
23,2025-06-11,-94981.52,104459.27,7173.53,2052,160102.49,-35.9134,-59.3254,SHORT/LONG,0.0
24,2025-06-18,2823.05,19471.29,6345.47,1637,149462.55,-3.0959,1.8888,LONG/SHORT,0.0
25,2025-06-25,42873.0,18685.05,45398.79,1501,152443.74,-0.0812,28.1238,LONG/SHORT,0.0
26,2025-07-02,25988.46,19492.05,29699.21,1201,139656.86,1.5356,18.6088,SHORT/LONG,0.0
27,2025-07-09,33019.89,29996.0,33295.81,1636,133986.01,-4.1981,24.6443,LONG/SHORT,0.0
28,2025-07-16,11754.91,20944.01,18837.87,1300,159039.74,-2.1576,7.3912,SHORT/LONG,0.0
29,2025-07-23,8558.92,23748.85,14569.94,1732,144488.52,-4.4563,5.9236,SHORT/LONG,0.0
30,2025-07-30,-44810.38,64928.01,14336.79,3100,159518.3,-37.7668,-28.0911,SHORT/LONG,0.0
31,2025-08-06,-17270.57,59577.74,10054.92,1800,139613.63,-15.7379,-12.3703,SHORT/LONG,0.0
32,2025-08-13,71329.22,10649.78,71749.93,999,138150.54,3.4901,51.6315,LONG/SHORT,0.0
33,2025-08-20,-65069.42,73942.55,2736.73,1767,324231.77,-30.2454,-20.0688,LONG/SHORT,0.0
34,2025-09-03,49076.05,13539.95,56353.69,1284,142152.97,0.7545,34.5234,SHORT/LONG,0.0
35,2025-09-10,49228.28,10153.38,49352.51,1185,139443.8,2.1885,35.3033,LONG/SHORT,0.0
36,2025-09-17,19211.24,32764.73,21231.12,1883,146153.73,-3.9242,13.1445,SHORT/LONG,0.0
37,2025-09-24,60378.76,28580.59,60651.23,1339,141622.38,0.1348,42.6336,SHORT/LONG,0.0
38,2025-10-01,14489.22,25835.45,17089.52,1418,148453.01,-4.6094,9.7601,LONG/SHORT,0.0
39,2025-10-08,39404.8,30966.54,49046.87,1463,314260.17,-2.8391,12.5389,SHORT/LONG,0.0
40,2025-10-15,72999.62,19897.3,73826.68,1073,145228.86,3.005,50.2652,LONG/SHORT,0.0
41,2025-10-29,-5072.4,30921.45,6488.14,1364,142926.33,-9.5464,-3.549,LONG/SHORT,0.0
42,2025-11-12,6819.04,32492.23,7781.07,2005,139934.06,-5.8816,4.873,SHORT/LONG,0.0
43,2025-11-19,-3972.69,41077.64,10202.87,1320,141168.46,-7.2845,-2.8142,SHORT,0.0
44,2025-11-26,51016.28,11391.76,52183.53,1487,130085.82,1.0316,39.2174,LONG/SHORT,0.0
45,2025-12-03,-93212.58,110799.1,6450.36,1696,271690.17,-24.6389,-34.3084,SHORT/LONG,0.0
46,2025-12-10,58996.73,9158.13,67274.05,983,145430.22,2.3898,40.567,LONG/SHORT,0.0
47,2025-12-17,-10201.55,29170.67,11986.57,2134,231310.21,-6.2511,-4.4103,LONG/SHORT,0.0
48,2025-12-24,16191.27,17171.43,16280.45,997,146073.6,1.0349,11.0843,SHORT/LONG,0.0
