month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,52364.12,23648.78,26,41333.86,10472.82,126.69
2025-02,55791.47,7221.41,18,40022.19,18597.16,139.4
2025-03,52958.08,6904.75,64,36941.19,13239.52,143.36
2025-04,13098.94,66934.3,104,38489.52,2619.79,34.03
2025-05,111226.27,13626.65,20,57127.85,27806.57,194.7
2025-06,72616.85,15725.24,20,48844.44,18154.21,148.67
2025-07,68845.3,7484.4,26,38271.96,13769.06,179.88
2025-08,71704.98,8810.05,18,35014.99,23901.66,204.78
2025-09,53795.01,10963.32,20,33753.25,13448.75,159.38
2025-10,44704.68,10564.11,36,33074.39,11176.17,135.16
2025-11,46370.56,7242.01,22,37390.15,15456.85,124.02
2025-12,56803.63,4799.13,24,34777.98,14200.91,163.33
