#{"t_start": 1770032551.6979103, "env_id": "None"}
r,l,t
-82.099196,345,15.410723
-165.769789,345,27.144621
-217.027876,345,39.444073
-128.428356,345,51.434941
-51.468491,345,63.498857
-199.95989,345,76.351141
-116.572538,345,88.379328
129.944606,345,100.852158
-222.75347,345,113.310724
-87.968754,345,125.481649
-207.374314,345,137.595965
-97.75276,345,150.443122
3.605717,345,162.316576
-20.572344,345,174.843847
-88.724144,345,220.08331
-216.152594,345,231.620064
-50.558732,345,243.742203
-80.332205,345,256.905589
-52.069338,345,269.067704
-181.93305,345,281.196766
-66.828008,345,293.275821
69.130579,345,305.329349
-72.637218,345,318.21652
-114.510652,345,332.982782
-65.442649,345,347.338186
-10.759346,345,362.855237
-146.192817,345,376.663669
-192.643156,345,390.629762
-74.859488,345,460.897268
-82.66805,345,476.474041
-91.81869,345,489.732988
-28.434405,345,503.411598
-239.439479,345,517.38321
4.538672,345,529.813387
-97.389368,345,541.997856
-108.238258,345,556.130075
-127.71998,345,569.521235
-16.7364,345,581.972762
-51.415319,345,594.299489
-98.704699,345,607.051359
-53.785106,345,619.659544
-143.01704,345,633.925627
-9.081287,345,646.170043
-49.527639,345,693.882341
-140.950974,345,705.824131
30.944037,345,717.917858
11.943357,345,730.412389
-110.04725,345,743.919827
-45.121407,345,756.421644
-22.56287,345,768.996817
-75.846219,345,781.881701
-57.857661,345,795.022424
-32.843841,345,807.526996
-121.665037,345,821.213241
-28.841805,345,834.345159
-58.264916,345,847.005554
-13.763347,345,859.748529
-38.828527,345,905.4195
31.572482,345,917.92188
-57.360958,345,931.103117
-40.686462,345,943.971568
-102.113535,345,956.922036
-94.528351,345,970.719827
-181.415179,345,983.554923
-54.527938,345,997.248715
-93.583895,345,1010.621086
-209.086518,345,1023.166716
-151.004592,345,1044.710717
-85.545121,345,1066.991934
-177.999462,345,1080.170841
-40.495026,345,1092.041992
-49.595641,345,1105.248033
-75.45968,345,1158.116181
-146.476806,345,1169.862624
-81.19445,345,1182.045602
-104.42672,345,1194.367341
-170.272953,345,1206.732419
