episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2025-01-01,-46046.69,82558.42,25730.07,9,1000000.0,-112.48,-4.6047
2,2025-01-02,129264.75,61409.3,132496.97,41,1000000.0,51.8578,12.9265
3,2025-01-03,-1749.03,54884.11,6091.39,29,1000000.0,-100.9195,-0.1749
4,2025-01-06,213075.39,113419.53,239805.48,23,1000000.0,135.5015,21.3075
5,2025-01-07,-4485.65,56011.13,6134.87,40,1000000.0,-123.5162,-0.4486
6,2025-01-08,24203.47,44404.98,30783.16,54,1000000.0,15.438,2.4203
7,2025-01-09,19309.35,47521.89,52821.08,47,1000000.0,42.9264,1.9309
8,2025-01-10,-24270.65,35868.74,4048.61,15,1000000.0,-109.3242,-2.4271
9,2025-01-13,26752.42,26138.09,44593.53,22,1000000.0,-165.7107,2.6752
10,2025-01-14,-41059.65,51938.25,764.38,61,1000000.0,-189.6035,-4.106
11,2025-01-15,87.16,24864.09,17496.3,0,1000000.0,-49.5968,0.0087
12,2025-01-16,3441.83,41897.56,18627.18,9,1000000.0,-170.8452,0.3442
13,2025-01-17,-23217.54,33401.08,0.0,30,1000000.0,-113.3134,-2.3218
14,2025-01-20,-20733.97,44719.62,18854.41,9,1000000.0,-84.9372,-2.0734
15,2025-01-21,86284.01,89644.98,90300.97,72,1000000.0,38.266,8.6284
16,2025-01-22,20047.42,62394.71,34422.87,42,1000000.0,-79.3869,2.0047
17,2025-01-23,-20190.68,50765.24,18526.99,13,1000000.0,-38.1726,-2.0191
18,2025-01-24,-13987.99,37366.21,22656.36,11,1000000.0,-93.513,-1.3988
19,2025-01-27,-9243.1,68697.67,20010.28,37,1000000.0,-78.1014,-0.9243
20,2025-01-28,-5428.91,14747.88,7470.86,0,1000000.0,-49.445,-0.5429
21,2025-01-29,-9635.01,45119.26,24836.14,9,1000000.0,-72.8736,-0.9635
22,2025-01-30,-4797.64,16374.33,0.0,0,1000000.0,-154.945,-0.4798
