#{"t_start": 1770117862.1866868, "env_id": "None"}
r,l,t
-204.131521,345,20.067584
-390.060268,345,37.707328
-327.425371,345,55.566241
-176.977576,345,73.457138
-55.697409,345,90.783527
-120.38658,345,107.981738
-302.853957,345,125.005983
-239.808267,345,141.3831
-387.923616,345,159.833894
-220.259434,345,178.998528
-214.756052,345,197.272116
-231.245152,345,214.463682
-158.53106,345,232.165703
-441.830304,345,250.592453
-230.975535,345,300.545639
-378.077944,345,319.134406
-226.45212,345,337.493456
-191.905189,345,355.28888
-60.677075,345,372.536845
-246.310195,345,389.769599
-262.465985,345,409.124969
-302.970981,345,427.313186
-336.668569,345,445.526607
-172.165372,345,463.912037
-261.447748,345,481.288766
-280.188838,345,499.592332
-42.305665,345,517.677889
-419.315922,345,535.180443
-187.83532,345,583.909576
-218.161391,345,603.076764
-615.751898,345,621.244295
-218.702423,345,640.556625
-357.351473,345,658.599144
-240.556249,345,676.781798
-344.181846,345,694.477973
-372.557107,345,712.278197
-284.686743,345,730.332503
-146.291911,345,748.671593
-348.414971,345,767.316936
-13.272448,345,784.828103
-385.13843,345,801.937381
-135.508127,345,820.435613
-296.607136,345,838.062618
-538.876081,345,887.972026
-198.834682,345,905.328234
-222.459601,345,923.049298
-379.887054,345,940.882761
-166.862752,345,958.133954
-126.871331,345,976.262982
-384.781166,345,993.659814
-117.62326,345,1012.281009
-381.540111,345,1030.334334
-228.09615,345,1047.133176
-232.855059,345,1065.110586
-212.293895,345,1082.522585
36.415904,345,1100.022144
-254.487426,345,1119.246054
-258.692107,345,1167.177913
-336.515468,345,1185.207511
-139.333537,345,1202.911207
-279.601821,345,1221.332561
-373.960205,345,1239.959063
-173.617615,345,1257.293386
-85.612612,345,1275.273433
-186.405982,345,1293.26627
-311.513022,345,1310.344733
-137.090162,345,1329.104186
-381.11247,345,1349.21561
-108.732145,345,1368.482878
-53.497602,345,1387.830042
-104.221863,345,1406.176246
-289.201268,345,1424.431564
-332.341545,345,1474.900351
-468.998632,345,1493.819993
-100.696838,345,1512.48117
-436.968226,345,1531.550972
-211.228695,345,1549.914636
-46.104094,345,1568.59045
-456.650641,345,1587.605596
-332.057589,345,1605.875218
-117.69804,345,1624.736339
-396.750311,345,1641.81726
-253.494769,345,1659.480224
-270.381059,345,1677.279452
-402.280527,345,1696.2189
-273.444776,345,1713.579528
-324.021308,345,1762.863468
-8.961939,345,1782.622173
-276.839319,345,1799.166017
-267.542534,345,1818.503118
-133.696187,345,1835.934479
-182.20802,345,1854.053306
-349.656097,345,1871.171784
-282.55139,345,1889.42172
-243.002484,345,1908.064534
-419.877152,345,1925.534738
-231.527519,345,1945.400445
-115.47093,345,1964.590505
-108.484574,345,1982.39388
-29.081772,345,2001.298594
-388.16803,345,2018.645544
-305.906757,345,2068.287737
-314.432039,345,2086.753149
-173.926897,345,2104.47863
-259.992926,345,2123.263373
-257.111141,345,2143.247359
-262.790739,345,2162.6974
-207.489526,345,2180.278671
-145.770465,345,2198.126893
-258.312426,345,2215.822042
-234.647084,345,2234.505051
-99.353115,345,2253.368994
-307.786495,345,2273.166697
-278.166351,345,2291.296091
-215.81848,345,2308.566438
-304.297631,345,2358.131741
-78.189564,345,2374.931614
-198.631359,345,2394.137914
94.401577,345,2414.298027
-198.821829,345,2433.215477
-340.590369,345,2451.63169
-384.88967,345,2471.149384
-186.666961,345,2489.624559
-204.401157,345,2509.239656
-395.612461,345,2528.320631
-327.099631,345,2547.022979
-375.170666,345,2564.5064
-319.637552,345,2584.306366
-370.089997,345,2602.21957
-326.138668,345,2620.120679
-300.424392,345,2671.158646
-146.524458,345,2689.465153
-307.238757,345,2707.502276
-281.379366,345,2726.47767
-365.024243,345,2744.589815
-289.144357,345,2763.511177
-265.923565,345,2781.155671
-105.568093,345,2800.670337
-221.704896,345,2819.688431
-255.918356,345,2838.601931
-274.005403,345,2858.240333
-51.472373,345,2877.42952
-379.977714,345,2896.102026
-428.088281,345,2915.222528
-378.553426,345,2965.099346
-47.036479,345,2984.742577
-265.718192,345,3004.42643
-442.971854,345,3021.005416
-464.116568,345,3040.832266
-70.082858,345,3060.237278
-416.455961,345,3078.696382
5.138182,345,3097.665119
-249.993594,345,3116.760476
-182.426541,345,3135.684952
-248.804746,345,3154.372358
-281.674489,345,3173.293812
-98.404422,345,3191.218774
-359.258613,345,3208.929082
-382.227641,345,3228.535088
-464.489382,345,3278.180188
-193.362788,345,3297.518311
109.970388,345,3314.98203
-386.986511,345,3333.798039
-257.593356,345,3352.012833
-177.360595,345,3371.503301
-183.61963,345,3389.762066
-314.036606,345,3409.854781
-428.695892,345,3428.20189
-394.238216,345,3446.375165
-283.637787,345,3465.990715
-143.85636,345,3484.499561
-433.936499,345,3502.798837
-241.330886,345,3521.681428
-400.484991,345,3572.590577
-302.019589,345,3590.266402
-183.347001,345,3607.785735
-218.305524,345,3625.475668
-372.469503,345,3643.347109
-102.049806,345,3662.242864
-361.071535,345,3681.89919
-289.226881,345,3701.022578
-334.354242,345,3719.88563
4.497317,345,3737.976013
-385.606545,345,3755.844301
-122.630624,345,3773.304746
-435.196176,345,3793.247662
-387.570885,345,3811.137034
-282.654917,345,3830.468928
-142.983351,345,3880.033739
-102.849855,345,3899.625529
-139.612131,345,3918.021662
-301.396299,345,3936.393928
-241.187249,345,3956.40617
-110.699039,345,3974.3631
-327.491282,345,3992.41324
-168.408806,345,4011.385032
-123.30747,345,4030.106791
-426.81735,345,4048.856783
-366.525512,345,4067.111749
-122.81386,345,4083.698707
-316.387029,345,4100.898455
-362.182182,345,4119.643745
-284.310179,345,4169.277532
-159.099293,345,4187.963815
-278.715268,345,4206.845066
-356.577666,345,4225.345345
-414.927269,345,4244.804314
-255.326299,345,4263.042586
-395.779073,345,4280.882247
-174.029618,345,4298.625844
-166.470058,345,4319.577572
-255.718523,345,4337.885429
-165.15269,345,4356.711256
-341.5265,345,4376.704374
-323.480286,345,4395.829461
-366.399211,345,4414.449436
-72.103991,345,4433.708121
-274.625273,345,4483.080657
-351.833245,345,4501.397654
-294.563099,345,4519.952432
-157.385876,345,4539.794248
-441.987102,345,4559.354729
-148.164057,345,4579.276683
-211.649598,345,4597.717334
-353.484386,345,4615.067091
-200.097062,345,4634.686596
-205.916588,345,4653.228735
-307.211627,345,4672.895031
-147.610428,345,4692.005798
-201.825858,345,4710.505221
-52.759797,345,4728.832715
-278.075107,345,4780.278183
-192.248946,345,4797.838338
-361.041819,345,4817.918408
-222.461691,345,4835.577783
-234.399122,345,4854.015397
-131.305964,345,4871.903654
-150.008579,345,4890.762759
-289.710217,345,4908.806282
-225.10784,345,4926.855933
-233.493675,345,4946.150006
-190.820837,345,4963.929972
-337.680744,345,4981.490128
-280.364298,345,5000.557034
-260.345637,345,5019.257684
-191.334181,345,5036.132097
-84.27436,345,5088.418733
-61.714078,345,5106.899343
-179.946597,345,5125.516325
-220.467599,345,5145.855857
-279.103968,345,5164.60219
-263.12968,345,5183.56726
-140.252792,345,5202.779902
-241.665672,345,5221.350913
-217.731098,345,5238.636938
-260.844249,345,5256.314176
-276.373014,345,5276.725526
-266.375071,345,5295.372728
-333.18496,345,5314.347522
-204.255669,345,5332.46155
-65.910142,345,5383.006
-121.21113,345,5402.425678
-214.479187,345,5421.500321
-333.023731,345,5439.980003
-215.865003,345,5459.198582
-234.915005,345,5478.258149
10.590828,345,5496.511134
-251.380976,345,5516.39984
-242.130976,345,5534.291926
-217.273079,345,5553.914908
-321.034078,345,5572.228165
-297.393525,345,5591.52612
-260.616923,345,5609.543979
-292.391322,345,5628.400934
-126.491192,345,5646.530802
-230.742306,345,5696.657244
-281.055487,345,5715.652627
-173.071297,345,5734.745882
-259.103394,345,5753.685904
-90.205915,345,5772.89885
-139.200085,345,5791.752601
-374.338918,345,5810.67274
-291.354272,345,5829.842242
5.550485,345,5849.322227
-210.292153,344,5868.253908
-57.915806,345,5887.600333
-421.550351,345,5906.576573
-309.763178,345,5925.253659
-253.889718,345,5944.127436
-19.982145,345,5994.595674
-208.298391,345,6012.414222
163.306091,345,6032.842676
-255.771523,345,6052.486325
-238.08915,345,6070.964562
-215.837025,345,6089.105511
-118.279077,345,6107.610916
-103.017461,345,6126.531799
-97.404866,345,6145.177417
-198.063154,345,6163.866508
-122.14026,345,6182.912806
6.377998,345,6201.639141
-341.45667,345,6219.544093
-253.50006,345,6237.547927
-118.463101,345,6256.410132
-360.567128,345,6306.730904
-330.173067,345,6326.473563
-220.534501,345,6344.874602
-156.020109,345,6364.24615
-181.088724,345,6383.316118
-7.956225,345,6401.28044
-74.257512,345,6419.44249
-50.425184,345,6438.493135
-366.375915,345,6456.902657
-188.386343,345,6476.159678
-139.987519,345,6495.262909
-334.171351,345,6514.314754
-263.809386,345,6532.706771
-166.191205,345,6553.121882
-177.984306,345,6603.689839
-84.785218,345,6621.664698
-198.757398,345,6641.436239
-238.191927,345,6661.087561
-531.737572,345,6680.264713
-289.452958,345,6699.59331
-22.225301,345,6718.409966
-9.99926,1,6718.535379
-215.842889,343,6737.458011
-219.293065,345,6757.21335
-408.845725,345,6775.817079
-137.608849,345,6793.080462
-329.882645,345,6812.794437
-213.612591,345,6831.885163
-254.718514,345,6850.93745
-175.188276,345,6869.46197
-214.109994,345,6920.025307
-337.980263,344,6938.250645
-319.238187,345,6956.412563
-157.229015,345,6975.275054
-181.564368,345,6994.333865
-277.569987,345,7014.48046
-305.046304,345,7032.426177
-320.002692,345,7051.488665
-254.270548,345,7070.384042
-149.960842,345,7088.312815
-235.862942,345,7107.295165
-352.691336,345,7126.586695
-364.98892,345,7146.007122
-554.411273,345,7165.357989
-379.538388,345,7215.682178
-183.413148,345,7234.647359
-134.827143,345,7253.099236
-178.994968,345,7272.542473
-57.610354,345,7291.814282
-335.315846,345,7309.860108
-312.111909,345,7329.9761
-355.039387,345,7348.026493
-248.927269,345,7367.539049
-20.503877,345,7385.186105
-168.868199,345,7404.059538
-360.559466,345,7422.208754
-192.536725,345,7440.875295
-263.592038,345,7459.657224
-220.457828,345,7477.413828
-22.502265,345,7528.073651
-247.722812,345,7547.781538
-93.33097,345,7565.420008
-104.530447,345,7584.836982
-283.387126,345,7603.747857
-168.034177,345,7621.82437
-364.440611,345,7641.832995
35.02529,345,7658.749977
-195.039218,345,7677.691738
-427.486586,345,7696.642514
-104.03614,345,7716.134878
-167.032971,345,7733.99185
-36.63143,345,7752.864559
-378.774742,345,7772.201874
-254.40141,345,7822.798851
-186.152494,345,7842.699691
-273.116187,345,7861.467518
-398.530629,345,7880.321748
-219.424386,345,7898.493009
-71.635983,345,7918.752183
-397.792213,345,7938.459667
-318.398136,345,7956.743025
-304.903305,345,7974.250083
-365.559635,345,7991.957405
-15.303625,345,8010.936065
-335.623735,345,8031.106673
-385.348484,345,8050.169362
-219.958758,345,8067.923706
-122.404076,345,8087.039662
-207.09075,345,8138.448641
-160.735527,345,8157.276468
16.275062,345,8176.311627
-441.335351,345,8194.936859
-120.598344,345,8213.112686
-288.023435,345,8231.390509
-419.756418,345,8250.996085
-135.824285,345,8270.35712
-324.205861,345,8290.128196
-286.427529,345,8309.281285
-140.632159,345,8328.454021
