month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,-447635.21,280371.41,617,1000000.0,-19462.4,-44.76
2025-02,-1574630.32,636257.45,583,1000000.0,-78731.52,-157.46
2025-03,-1054708.18,248890.9,517,1000000.0,-55510.96,-105.47
2025-04,-1705230.02,419058.67,540,1000000.0,-89748.95,-170.52
2025-05,-2013511.42,335258.05,900,1000000.0,-95881.5,-201.35
2025-06,-919396.07,191725.26,516,1000000.0,-43780.77,-91.94
2025-07,-928447.96,246752.72,792,1000000.0,-40367.3,-92.84
2025-08,-524570.43,223396.51,554,1000000.0,-27608.97,-52.46
2025-09,-739284.96,219165.48,799,1000000.0,-33603.86,-73.93
2025-10,-348811.03,192318.72,700,1000000.0,-16610.05,-34.88
2025-11,-399293.52,238501.71,662,1000000.0,-21015.45,-39.93
2025-12,-760292.63,190289.66,631,1000000.0,-36204.41,-76.03
