episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2025-01-01,-140172.94,168505.26,17810.34,40,1000000.0,-93.4887,-14.0173
2,2025-01-02,76888.91,167767.13,114155.19,22,1000000.0,21.7692,7.6889
3,2025-01-03,24028.21,130128.02,73136.0,162,1000000.0,-12.3202,2.4028
4,2025-01-06,194408.64,107717.94,220734.89,32,1000000.0,179.2677,19.4409
5,2025-01-07,-9981.92,94508.08,44604.77,80,1000000.0,-38.8481,-0.9982
6,2025-01-08,40436.11,266516.19,170126.32,196,1000000.0,9.7189,4.0436
7,2025-01-09,37316.99,125313.73,138340.86,110,1000000.0,85.1476,3.7317
8,2025-01-10,-114619.95,203888.44,34727.48,94,1000000.0,-98.6086,-11.462
9,2025-01-13,-81225.98,143160.02,456.54,86,1000000.0,-148.154,-8.1226
10,2025-01-14,-71754.74,85268.18,9267.4,76,1000000.0,-177.8241,-7.1755
11,2025-01-15,-55054.36,226367.69,99778.63,110,1000000.0,-55.3876,-5.5054
12,2025-01-16,-106443.39,170810.63,6845.38,18,1000000.0,-187.6971,-10.6443
13,2025-01-17,-69526.3,160824.92,31929.98,136,1000000.0,-74.9575,-6.9526
14,2025-01-20,-29163.99,62950.55,23561.17,34,1000000.0,-56.4991,-2.9164
15,2025-01-21,146278.64,108052.09,170688.1,114,1000000.0,86.6037,14.6279
16,2025-01-22,25193.85,205690.42,141389.11,190,1000000.0,21.8877,2.5194
17,2025-01-23,-105047.19,246561.87,113632.42,18,1000000.0,-131.8036,-10.5047
18,2025-01-24,18787.98,142707.97,94134.73,156,1000000.0,26.6423,1.8788
19,2025-01-27,-56006.01,107513.01,9803.86,82,1000000.0,-110.7182,-5.6006
20,2025-01-28,-61831.25,149121.17,66583.28,119,1000000.0,-26.2078,-6.1831
21,2025-01-29,-181734.34,368669.54,180260.79,36,1000000.0,-87.0676,-18.1734
22,2025-01-30,-47148.13,143728.79,2448.35,96,1000000.0,-104.1254,-4.7148
23,2025-01-31,21157.76,119992.04,63983.19,18,1000000.0,-8.9083,2.1158
24,2025-02-01,711.75,391925.13,368137.15,165,1000000.0,12.0852,0.0712
25,2025-02-03,-52601.47,90151.78,23288.44,116,1000000.0,-101.5123,-5.2601
26,2025-02-04,82643.99,55084.8,99424.13,71,1000000.0,27.8239,8.2644
27,2025-02-05,-16664.2,138135.85,8168.18,174,1000000.0,-103.4256,-1.6664
28,2025-02-06,-41223.88,114920.11,32764.79,64,1000000.0,-87.4593,-4.1224
29,2025-02-07,154825.27,173417.88,271781.16,226,1000000.0,241.5698,15.4825
30,2025-02-10,-37204.92,58608.08,17377.6,18,1000000.0,-42.6372,-3.7205
31,2025-02-11,100097.72,69896.19,139828.54,71,1000000.0,39.423,10.0098
32,2025-02-12,-23231.18,200366.35,151855.69,126,1000000.0,32.1999,-2.3231
33,2025-02-13,-238653.57,309548.45,15067.66,18,1000000.0,-170.2086,-23.8654
34,2025-02-14,-27000.21,159152.53,28485.55,73,1000000.0,-57.4072,-2.7
35,2025-02-17,-117795.76,184954.61,1472.89,78,1000000.0,-192.1712,-11.7796
36,2025-02-18,-65522.08,80818.06,9482.62,78,1000000.0,-135.9277,-6.5522
37,2025-02-19,-147822.65,234412.08,19737.5,54,1000000.0,-126.9652,-14.7823
38,2025-02-20,-180543.76,251396.75,47634.85,18,1000000.0,-173.3762,-18.0544
39,2025-02-21,-77720.24,165134.27,51610.54,60,1000000.0,-73.0879,-7.772
40,2025-02-24,-70997.56,103004.15,8407.46,98,1000000.0,-158.462,-7.0998
41,2025-02-25,-65887.8,77122.21,11234.41,22,1000000.0,-140.7674,-6.5888
42,2025-02-27,-101624.0,140067.36,15468.87,26,1000000.0,-193.2384,-10.1624
43,2025-02-28,-6392.36,140789.9,58110.37,140,1000000.0,-120.3792,-0.6392
44,2025-03-03,-78875.59,123163.64,26833.73,28,1000000.0,-91.5149,-7.8876
45,2025-03-04,-63012.75,106414.23,15348.33,20,1000000.0,-166.9937,-6.3013
46,2025-03-05,-147026.72,174562.53,15079.62,18,1000000.0,-132.6817,-14.7027
47,2025-03-06,-32869.59,252377.31,144668.72,60,1000000.0,-7.2858,-3.287
48,2025-03-07,-224467.39,280647.57,17666.0,24,1000000.0,-180.5193,-22.4467
49,2025-03-10,-67257.85,215563.28,84820.18,72,1000000.0,-202.0453,-6.7258
50,2025-03-11,166.5,59563.88,10772.62,37,1000000.0,-63.847,0.0167
51,2025-03-12,-148737.3,194276.46,34532.75,135,1000000.0,-118.5551,-14.8737
52,2025-03-13,-94604.0,178706.78,0.0,94,1000000.0,-154.4323,-9.4604
53,2025-03-17,-85403.93,112737.43,25106.81,144,1000000.0,-147.9376,-8.5404
54,2025-03-18,8610.7,56431.6,10547.74,43,1000000.0,-120.2298,0.8611
55,2025-03-19,-231908.29,255709.99,5986.56,18,1000000.0,-187.8334,-23.1908
56,2025-03-20,-79796.28,194169.78,59904.13,70,1000000.0,-115.7334,-7.9796
57,2025-03-21,-89033.76,124253.36,23843.2,18,1000000.0,-90.743,-8.9034
58,2025-03-24,-48741.06,108897.67,7955.48,28,1000000.0,-119.3364,-4.8741
59,2025-03-25,-90024.72,115167.26,401.2,174,1000000.0,-147.4543,-9.0025
60,2025-03-26,-42384.16,185333.18,7860.57,150,1000000.0,-115.7118,-4.2384
61,2025-03-27,-100703.95,277791.98,19814.22,20,1000000.0,-196.7143,-10.0704
62,2025-03-28,9814.88,135028.08,27735.18,129,1000000.0,-51.8717,0.9815
63,2025-04-01,141869.14,53876.01,160876.22,100,1000000.0,265.2569,14.1869
64,2025-04-02,-153814.89,285136.18,18228.19,160,1000000.0,-203.4605,-15.3815
65,2025-04-03,-230236.75,298172.69,42331.0,18,1000000.0,-204.2791,-23.0237
66,2025-04-04,-116982.61,191131.6,32862.58,76,1000000.0,-114.2387,-11.6983
67,2025-04-07,-601148.25,679329.21,6758.15,116,1000000.0,-253.049,-60.1148
