episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2020-02-01,9055.31,9700.24,9220.41,10,1000000.0,41.5544,0.9055
2,2020-02-03,-32930.74,34627.08,0.0,65,1000000.0,-202.916,-3.2931
3,2020-02-04,6469.88,2478.77,7263.48,9,1000000.0,157.6805,0.647
4,2020-02-05,-4054.78,9738.62,1461.93,2,1000000.0,-101.4381,-0.4055
5,2020-02-06,-7892.69,10896.24,0.0,4,1000000.0,-166.8529,-0.7893
6,2020-02-07,7729.53,26019.32,14260.61,119,1000000.0,-97.7122,0.773
7,2020-02-10,-3686.74,4299.12,342.02,2,1000000.0,-132.443,-0.3687
8,2020-02-11,21292.19,21635.47,22620.17,88,1000000.0,-23.6741,2.1292
9,2020-02-12,23028.34,32194.75,27145.35,15,1000000.0,29.622,2.3028
10,2020-02-13,1925.65,66137.48,13137.72,67,1000000.0,-153.0683,0.1926
11,2020-02-14,-17068.43,39655.8,8874.53,28,1000000.0,-44.065,-1.7068
12,2020-02-17,17832.77,9182.06,23796.53,36,1000000.0,-14.8331,1.7833
13,2020-02-18,-37814.29,54789.95,16975.66,120,1000000.0,-3.371,-3.7814
14,2020-02-19,-12674.36,38672.85,12173.64,192,1000000.0,-43.3713,-1.2674
15,2020-02-20,32146.43,22747.34,32545.69,34,1000000.0,-24.9142,3.2146
16,2020-02-24,42375.49,10734.48,49669.69,15,1000000.0,-64.8487,4.2375
17,2020-02-25,6233.27,46279.84,17853.39,80,1000000.0,-82.8458,0.6233
18,2020-02-26,78036.64,14595.18,78584.71,28,1000000.0,-59.1088,7.8037
19,2020-02-27,20101.47,23289.92,22701.19,166,1000000.0,16.8639,2.0101
20,2020-02-28,16679.38,14471.48,17240.26,66,1000000.0,-86.3544,1.6679
21,2020-03-02,-20027.6,26616.94,0.0,2,1000000.0,-207.8066,-2.0028
22,2020-03-03,-18615.68,24900.43,6284.75,51,1000000.0,-65.6209,-1.8616
23,2020-03-04,58327.49,32427.3,58904.45,90,1000000.0,17.6414,5.8327
24,2020-03-05,18028.97,10723.39,20737.88,22,1000000.0,1.0755,1.8029
25,2020-03-06,-17457.11,19423.89,0.0,2,1000000.0,-156.6034,-1.7457
26,2020-03-09,7701.33,3708.43,8001.9,8,1000000.0,99.636,0.7701
27,2020-03-11,19489.29,13797.66,25634.88,36,1000000.0,-26.938,1.9489
28,2020-03-12,-1351.97,29949.94,1672.72,24,1000000.0,-150.8141,-0.1352
29,2020-03-13,36431.19,331954.15,346411.85,7,1000000.0,188.7179,3.6431
30,2020-03-16,-16168.49,25705.77,8863.71,2,1000000.0,-147.366,-1.6168
31,2020-03-17,-21963.38,23812.79,0.0,2,1000000.0,-171.7808,-2.1963
32,2020-03-18,-24836.16,24836.16,0.0,2,1000000.0,-124.7305,-2.4836
33,2020-03-19,-33748.35,63715.66,8835.95,0,1000000.0,-145.22,-3.3748
34,2020-03-20,-57894.74,77869.19,0.0,0,1000000.0,-211.2989,-5.7895
35,2020-03-23,22337.38,63442.5,85779.88,14,1000000.0,111.6268,2.2337
36,2020-03-24,-1477.97,6026.6,4548.63,2,1000000.0,-18.6827,-0.1478
37,2020-03-25,-32467.83,33319.59,851.76,2,1000000.0,-151.6824,-3.2468
38,2020-03-26,-4995.55,36071.1,22645.06,0,1000000.0,-31.6328,-0.4996
39,2020-03-27,11969.68,27831.58,38307.72,2,1000000.0,84.3777,1.197
40,2020-03-30,-25340.65,29241.96,3901.31,2,1000000.0,-209.7701,-2.5341
41,2020-03-31,-14187.88,14858.77,201.43,6,1000000.0,-186.0639,-1.4188
42,2020-04-01,23408.93,12605.29,23823.06,44,1000000.0,-29.2487,2.3409
43,2020-04-03,54493.43,27476.62,66717.93,46,1000000.0,-64.8573,5.4493
44,2020-04-07,-8198.2,10634.52,899.24,6,1000000.0,-145.4324,-0.8198
45,2020-04-08,-6712.94,21689.16,13270.54,2,1000000.0,-43.498,-0.6713
46,2020-04-09,-25778.56,36476.45,0.0,32,1000000.0,-173.7901,-2.5779
47,2020-04-13,-15535.3,19360.72,3825.42,29,1000000.0,-118.1809,-1.5535
48,2020-04-15,29636.71,11548.77,29895.79,14,1000000.0,11.3768,2.9637
49,2020-04-16,-8327.34,15189.25,6689.8,2,1000000.0,-72.3462,-0.8327
50,2020-04-17,-6368.15,8946.9,191.4,2,1000000.0,-93.8635,-0.6368
51,2020-04-20,13930.06,34787.6,19287.23,72,1000000.0,-143.5742,1.393
52,2020-04-21,-6352.48,6802.08,6.79,4,1000000.0,-166.3138,-0.6352
53,2020-04-22,-19087.84,21061.01,81.51,2,1000000.0,-145.3915,-1.9088
54,2020-04-23,-8566.68,13599.83,93.55,0,1000000.0,-142.9896,-0.8567
55,2020-04-24,-5355.65,27058.01,21702.36,27,1000000.0,-102.9874,-0.5356
56,2020-04-27,-10202.18,11168.66,0.0,6,1000000.0,-130.2048,-1.0202
57,2020-04-28,-17821.25,22580.48,2274.84,61,1000000.0,-284.7304,-1.7821
58,2020-04-29,25883.68,11436.6,27827.93,86,1000000.0,21.4065,2.5884
59,2020-04-30,8307.78,28759.5,9257.51,26,1000000.0,-53.8613,0.8308
60,2020-05-04,23033.42,13242.6,24044.99,38,1000000.0,-96.9692,2.3033
61,2020-05-05,16323.87,4960.06,17654.35,66,1000000.0,85.276,1.6324
62,2020-05-06,7766.13,7611.65,15377.78,2,1000000.0,87.3873,0.7766
63,2020-05-07,-7565.43,22507.04,2111.58,35,1000000.0,-136.5344,-0.7565
64,2020-05-08,1185.85,12703.26,1897.5,42,1000000.0,-103.0328,0.1186
65,2020-05-11,-5353.22,8683.46,3330.24,2,1000000.0,-141.3777,-0.5353
66,2020-05-12,-1773.99,7824.02,4451.24,39,1000000.0,56.0158,-0.1774
67,2020-05-13,13921.39,40017.22,14778.29,94,1000000.0,-44.4563,1.3921
68,2020-05-14,7354.65,4555.27,11759.71,32,1000000.0,3.3597,0.7355
69,2020-05-15,-11035.61,44017.37,31736.6,69,1000000.0,-84.5624,-1.1036
70,2020-05-18,14438.31,6193.47,20199.99,36,1000000.0,83.2506,1.4438
71,2020-05-19,-6678.02,6689.47,0.0,26,1000000.0,-137.2304,-0.6678
72,2020-05-20,-13213.6,17416.79,1686.71,2,1000000.0,-151.1917,-1.3214
73,2020-05-21,-8034.83,19292.86,2846.12,8,1000000.0,-191.7245,-0.8035
74,2020-05-22,10363.83,10470.26,17073.48,24,1000000.0,109.2872,1.0364
75,2020-05-26,31537.9,38879.74,52467.38,78,1000000.0,43.6805,3.1538
76,2020-05-27,-1055.52,11389.39,4014.48,2,1000000.0,-32.1318,-0.1056
77,2020-05-28,-9897.56,12084.94,0.0,0,1000000.0,-160.4879,-0.9898
78,2020-05-29,-6159.86,9509.42,0.0,2,1000000.0,-104.6218,-0.616
