month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,709336.3,144101.88,901,1000000.0,30840.71,70.93
2025-02,544824.03,219576.77,964,1000000.0,27241.2,54.48
2025-03,89368.17,130407.22,882,1000000.0,4703.59,8.94
2025-04,446242.54,143573.16,924,1000000.0,23486.45,44.62
2025-05,-140627.65,134339.76,913,1000000.0,-6696.55,-14.06
2025-06,128489.02,159868.1,701,1000000.0,6118.52,12.85
2025-07,346366.69,169761.49,1294,1000000.0,15059.42,34.64
2025-08,85145.23,146784.11,840,1000000.0,4481.33,8.51
2025-09,554903.11,121914.31,1215,1000000.0,25222.87,55.49
2025-10,202326.47,192318.72,898,1000000.0,9634.59,20.23
2025-11,268967.76,111225.45,687,1000000.0,14156.2,26.9
2025-12,-196303.09,113059.2,1021,1000000.0,-9347.77,-19.63
