episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2020-01-01,-46526.75,113402.49,51544.64,179,1000000.0,-405.6134,-4.6527
2,2020-01-08,415801.96,500376.89,863148.58,64,1000000.0,651.5076,41.5802
3,2020-01-15,-80131.17,115375.1,35243.93,73,1000000.0,-230.5643,-8.0131
4,2020-01-22,-66083.78,117395.73,48761.17,125,1000000.0,-217.3599,-6.6084
5,2020-01-29,30174.66,155878.04,185275.59,29,1000000.0,-13.0747,3.0175
6,2020-02-05,-84916.45,219133.31,131764.15,34,1000000.0,-157.7482,-8.4916
7,2020-02-12,-22768.78,107172.8,36725.16,55,1000000.0,-140.7033,-2.2769
8,2020-02-19,6650.34,204893.96,204160.17,71,1000000.0,-59.2125,0.665
9,2020-02-26,5681.56,117970.74,116350.08,33,1000000.0,-4.6481,0.5682
10,2020-03-04,78525.1,272494.96,337302.32,91,1000000.0,282.7261,7.8525
11,2020-03-11,171567.29,1418607.93,1590175.22,89,1000000.0,450.7863,17.1567
12,2020-03-18,355419.85,1615203.81,1932857.96,31,1000000.0,644.3324,35.542
13,2020-03-25,574826.98,661511.65,1224530.15,113,1000000.0,2002.2445,57.4827
14,2020-04-01,189221.06,147803.72,329236.37,29,1000000.0,232.8421,18.9221
15,2020-04-08,206640.27,720223.93,919892.04,96,1000000.0,571.603,20.664
16,2020-04-15,154492.44,262864.57,411327.02,36,1000000.0,502.6223,15.4492
17,2020-04-22,191221.54,184267.31,337913.55,38,1000000.0,605.8403,19.1222
18,2020-04-29,653365.67,702073.03,1295966.2,97,1000000.0,915.8591,65.3366
19,2020-05-06,114803.3,334318.42,449121.72,42,1000000.0,457.9953,11.4803
20,2020-05-13,161245.07,514052.07,658386.7,38,1000000.0,249.6565,16.1245
21,2020-05-20,115016.65,154665.72,226010.0,18,1000000.0,170.4819,11.5017
22,2020-05-27,493740.55,134620.85,601563.44,18,1000000.0,838.8866,49.3741
23,2020-06-03,42450.09,174161.95,165973.83,174,1000000.0,44.9453,4.245
24,2020-06-10,187014.0,263947.96,450961.96,119,1000000.0,381.7191,18.7014
25,2020-06-17,229900.37,168631.19,301010.44,98,1000000.0,335.5729,22.99
26,2020-06-24,25805.43,348348.03,374153.46,45,1000000.0,43.8675,2.5805
27,2020-07-01,367543.03,236740.31,502327.13,36,1000000.0,608.4438,36.7543
28,2020-07-08,1874.34,184674.14,181332.26,197,1000000.0,-146.4344,0.1874
29,2020-07-15,155700.03,114805.1,204174.56,46,1000000.0,210.5944,15.57
30,2020-07-22,-49558.43,209926.93,160368.51,50,1000000.0,-48.8398,-4.9558
31,2020-07-29,23519.77,229154.05,250112.31,113,1000000.0,-85.3554,2.352
32,2020-08-05,-71676.27,192319.09,120642.81,206,1000000.0,-204.3118,-7.1676
33,2020-08-12,58920.49,159118.42,215267.52,79,1000000.0,100.1467,5.892
34,2020-08-19,137085.68,404176.68,541262.36,146,1000000.0,171.8357,13.7086
35,2020-08-26,-7414.5,238554.22,219946.54,115,1000000.0,-171.9166,-0.7415
36,2020-09-02,93030.51,140576.58,233554.6,69,1000000.0,164.8967,9.3031
37,2020-09-09,24717.67,292408.16,301084.64,46,1000000.0,67.7867,2.4718
38,2020-09-16,-64962.88,267291.32,202307.81,127,1000000.0,-168.5148,-6.4963
39,2020-09-23,17132.98,426144.96,443277.93,84,1000000.0,-72.3813,1.7133
40,2020-09-30,326957.21,412310.27,716605.59,36,1000000.0,426.9522,32.6957
41,2020-10-07,100213.23,389293.01,451462.25,18,1000000.0,87.3653,10.0213
42,2020-10-14,92699.98,126283.39,218983.37,61,1000000.0,235.7223,9.27
43,2020-10-21,-17640.61,174696.57,153930.34,27,1000000.0,-40.4475,-1.7641
44,2020-10-28,-17101.4,241601.12,224499.72,39,1000000.0,-117.4984,-1.7101
45,2020-11-04,615217.91,590567.53,1014822.54,92,1000000.0,934.448,61.5218
46,2020-11-11,108742.52,202952.9,311695.42,222,1000000.0,85.6283,10.8743
47,2020-11-18,236938.55,231642.48,468581.03,130,1000000.0,439.5049,23.6939
48,2020-11-25,-13448.52,116008.52,95723.98,27,1000000.0,-52.9807,-1.3449
49,2020-12-02,68638.96,298994.24,311918.39,104,1000000.0,-145.3818,6.8639
50,2020-12-09,125986.25,198709.59,324695.84,182,1000000.0,121.3362,12.5986
51,2020-12-16,-58656.65,128873.46,37913.67,31,1000000.0,-148.7956,-5.8657
52,2020-12-23,196426.55,223756.29,349198.33,22,1000000.0,224.0789,19.6427
53,2020-12-30,-15823.75,133607.95,87676.42,30,1000000.0,-35.9677,-1.5824
