month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2020-01,253234.92,500376.89,470,1000000.0,50646.98,25.32
2020-02,-95353.33,219133.31,193,1000000.0,-23838.33,-9.54
2020-03,1180339.22,1615203.81,324,1000000.0,295084.8,118.03
2020-04,1394940.98,720223.93,296,1000000.0,278988.2,139.49
2020-05,884805.57,514052.07,116,1000000.0,221201.39,88.48
2020-06,485169.89,348348.03,436,1000000.0,121292.47,48.52
2020-07,499078.74,236740.31,442,1000000.0,99815.75,49.91
2020-08,116915.4,404176.68,546,1000000.0,29228.85,11.69
2020-09,396875.49,426144.96,362,1000000.0,79375.1,39.69
2020-10,158171.2,389293.01,145,1000000.0,39542.8,15.82
2020-11,947450.46,590567.53,471,1000000.0,236862.62,94.75
2020-12,316571.36,298994.24,369,1000000.0,63314.27,31.66
