#{"t_start": 1773914968.6239789, "env_id": "None"}
r,l,t
-2655.814338,1470,34.551169
-1391.616772,1095,50.217414
-2556.297474,1470,71.642604
-3375.245401,1470,144.184063
-1326.811909,1095,161.831626
-2860.380008,1470,183.737651
-2525.225277,1470,205.763162
-2847.09827,1470,275.460126
-1846.759605,1470,297.758189
-3300.197443,1470,320.550719
-2786.414953,1470,391.101405
-3326.154783,1470,413.677983
-2881.481163,1470,436.574553
-2347.288744,1470,459.278611
-1852.940173,1470,526.90553
-2788.962165,1470,549.742519
-940.812053,1095,566.778154
-3039.57555,1470,636.957469
-1288.660621,1095,653.917967
-1013.904388,1095,671.252469
-1014.86404,1110,687.973021
-2881.440343,1470,756.03216
-2222.603207,1470,778.782117
-1683.876529,1470,801.358387
-1262.291841,1470,824.331412
-3102.882818,1470,895.003579
-2269.479826,1470,917.208882
-2459.119257,1470,940.228273
-1993.993941,1470,1010.896574
-1151.127961,1470,1033.522809
-1686.031476,1470,1056.11317
-1921.390021,1470,1078.728543
-987.442118,1470,1146.615866
-910.057418,1470,1169.46926
-40.698324,720,1180.780354
-184.149418,1470,1203.908346
-972.994529,1470,1276.370801
-991.27495,1470,1299.371099
-1147.4861,1470,1322.564225
-683.320341,1470,1392.876144
-1769.526683,1470,1416.223847
-671.16277,1470,1439.297429
-463.786398,1110,1456.643014
-680.952592,1470,1529.936178
-198.483056,1470,1554.627076
-565.615839,1470,1578.169477
-577.410022,1470,1647.071313
-205.912517,1095,1663.942071
-983.446808,1467,1687.219211
-956.862176,1470,1710.842269
-1012.642739,1470,1781.808561
-726.818166,1470,1804.987218
-359.606706,1110,1822.978642
-362.474178,1470,1891.501419
-73.800022,1470,1914.54581
-375.213468,1470,1938.015934
-135.849635,1470,1961.564496
-457.924539,1470,2035.897067
-1088.767833,1469,2059.325847
-282.181814,1470,2082.97996
-345.09493,1470,2146.131722
-51.220339,1470,2169.64406
-481.911319,1470,2193.623499
-279.40516,1470,2216.824983
-622.024705,1470,2287.619666
-36.849007,1470,2310.770315
-305.043992,1470,2335.148
73.804798,720,2394.725939
-301.260839,1470,2417.900721
-855.392918,1470,2441.037274
-277.262128,1470,2464.972053
-188.116579,1470,2537.070717
-350.073446,1470,2562.749621
-455.676112,1470,2588.587421
380.492849,1470,2660.92773
9.474959,1470,2684.491058
80.748358,1470,2708.118295
-210.332185,1470,2731.904225
42.78246,1470,2801.184709
-142.034362,1470,2824.489709
-891.924456,1470,2848.036024
-16.980356,1470,2919.046778
-725.070522,1470,2942.355563
-8.38839,1470,2965.894246
-392.485134,1470,3037.011701
-527.117194,1470,3060.130133
-147.502398,1470,3083.81421
-546.141579,1470,3107.500767
-106.806497,1470,3180.690371
-544.900371,1470,3204.081478
184.821826,1470,3227.318255
-77.882791,1470,3305.562624
-4.172145,1470,3330.23004
216.696775,1470,3356.417874
210.736785,1470,3380.041647
-72.243514,1470,3451.385446
-349.751863,1470,3475.378686
-4.673442,1470,3498.801792
182.889937,1470,3573.887982
517.129047,1470,3597.360716
-253.175874,1470,3620.761369
180.505579,1470,3696.158954
-454.748742,1095,3713.509323
8.373556,1470,3737.252247
-59.531558,1470,3761.101799
-409.436279,1470,3834.961605
94.141949,1470,3858.471498
738.664138,1470,3882.563577
-124.982762,1470,3956.813451
