episode,date,pnl,max_drawdown,peak_pnl,trades,investment,total_reward,return_pct
1,2025-01-01,-1246.22,2243.21,996.99,2,1000000.0,-16.4081,-0.1246
2,2025-01-08,-3601.04,3767.1,166.06,2,1000000.0,-20.8486,-0.3601
3,2025-01-15,-2132.57,2132.57,0.0,2,1000000.0,-13.7243,-0.2133
4,2025-01-22,-2447.33,2447.33,0.0,2,1000000.0,-12.075,-0.2447
5,2025-01-29,-2619.03,2710.89,91.86,2,1000000.0,-19.3522,-0.2619
6,2025-02-05,-9980.38,12192.65,1.26,0,1000000.0,-33.2022,-0.998
7,2025-02-12,-2823.74,4269.3,1445.57,2,1000000.0,-13.8071,-0.2824
8,2025-02-19,-2326.95,2326.95,0.0,2,1000000.0,-14.6774,-0.2327
9,2025-03-05,-1426.87,2125.59,698.72,2,1000000.0,-10.9499,-0.1427
10,2025-03-12,-5176.28,5281.47,105.19,2,1000000.0,-20.4545,-0.5176
11,2025-03-19,-2120.99,2143.44,22.45,2,1000000.0,-10.6847,-0.2121
12,2025-03-26,-11023.91,11446.6,55.53,0,1000000.0,-20.224,-1.1024
13,2025-04-02,-192105.22,260466.8,67997.29,21,1000000.0,-63.0186,-19.2105
14,2025-04-09,-2809.88,2967.0,157.13,2,1000000.0,-12.3286,-0.281
15,2025-04-16,-2083.07,2723.76,640.7,2,1000000.0,-13.0924,-0.2083
16,2025-04-23,-2911.06,2911.06,0.0,2,1000000.0,-16.1336,-0.2911
17,2025-04-30,-2594.36,2594.36,0.0,2,1000000.0,-9.4526,-0.2594
18,2025-05-07,-2882.56,2882.56,0.0,2,1000000.0,-13.7563,-0.2883
19,2025-05-14,-3310.48,3310.48,0.0,2,1000000.0,-20.1619,-0.331
20,2025-05-21,-2577.05,2577.05,0.0,2,1000000.0,-18.8071,-0.2577
21,2025-05-28,-2782.92,2782.92,0.0,2,1000000.0,-13.3732,-0.2783
22,2025-06-04,-3090.32,3279.4,189.08,2,1000000.0,-17.9437,-0.309
23,2025-06-11,-2506.66,2506.66,0.0,2,1000000.0,-11.5366,-0.2507
24,2025-06-18,-10521.22,10875.1,353.89,2,1000000.0,-44.7266,-1.0521
25,2025-06-25,-5303.56,5303.56,0.0,2,1000000.0,-32.65,-0.5304
26,2025-07-02,-21900.45,22026.96,126.51,0,1000000.0,-26.2866,-2.19
27,2025-07-09,-6182.61,7453.13,1270.53,0,1000000.0,-13.4107,-0.6183
28,2025-07-16,-1746.81,1746.81,0.0,2,1000000.0,-9.4888,-0.1747
29,2025-07-23,-2567.94,2615.37,47.43,2,1000000.0,-14.7975,-0.2568
30,2025-07-30,-5072.87,6047.44,974.58,2,1000000.0,-23.5238,-0.5073
31,2025-08-06,-20347.3,22511.79,2164.49,0,1000000.0,-17.713,-2.0347
32,2025-08-13,-3866.99,3897.99,31.0,2,1000000.0,-14.7176,-0.3867
33,2025-08-20,-1768.83,1768.83,0.0,2,1000000.0,-9.5714,-0.1769
34,2025-09-03,-3660.73,3777.29,116.56,2,1000000.0,-21.7892,-0.3661
35,2025-09-10,-5977.95,6655.01,677.05,2,1000000.0,-18.9035,-0.5978
36,2025-09-17,-1275.81,1543.86,268.05,2,1000000.0,-9.9539,-0.1276
37,2025-09-24,-1595.64,1595.64,0.0,2,1000000.0,-8.9221,-0.1596
38,2025-10-01,-2887.15,2887.15,0.0,2,1000000.0,-13.089,-0.2887
39,2025-10-08,-5414.16,6722.26,1308.1,2,1000000.0,-22.1313,-0.5414
40,2025-10-15,-2987.43,2987.43,0.0,2,1000000.0,-12.6423,-0.2987
41,2025-10-29,-2970.43,2994.06,23.64,2,1000000.0,-12.685,-0.297
42,2025-11-12,-2071.54,2447.18,375.64,2,1000000.0,-17.6861,-0.2072
43,2025-11-19,-1939.32,2277.35,338.03,2,1000000.0,-10.2943,-0.1939
44,2025-11-26,-949.71,1874.14,924.43,2,1000000.0,-9.3481,-0.095
45,2025-12-03,-1693.45,1693.45,0.0,2,1000000.0,-9.2887,-0.1693
46,2025-12-10,-6310.37,6340.53,30.16,2,1000000.0,-32.9694,-0.631
47,2025-12-17,-6453.16,6967.08,513.93,2,1000000.0,-25.8666,-0.6453
48,2025-12-24,-1533.94,1553.11,19.17,2,1000000.0,-6.4727,-0.1534
