month,pnl,max_drawdown,trades,investment,avg_pnl,roi_pct
2025-01,-12046.19,3767.1,10,1000000.0,-2409.24,-1.2
2025-02,-15131.07,12192.65,4,1000000.0,-5043.69,-1.51
2025-03,-19748.05,11446.6,6,1000000.0,-4937.01,-1.97
2025-04,-202503.59,260466.8,29,1000000.0,-40500.72,-20.25
2025-05,-11553.01,3310.48,8,1000000.0,-2888.25,-1.16
2025-06,-21421.76,10875.1,8,1000000.0,-5355.44,-2.14
2025-07,-37470.68,22026.96,6,1000000.0,-7494.14,-3.75
2025-08,-25983.12,22511.79,4,1000000.0,-8661.04,-2.6
2025-09,-12510.13,6655.01,8,1000000.0,-3127.53,-1.25
2025-10,-14259.17,6722.26,8,1000000.0,-3564.79,-1.43
2025-11,-4960.57,2447.18,6,1000000.0,-1653.52,-0.5
2025-12,-15990.92,6967.08,8,1000000.0,-3997.73,-1.6
